Source,Target,Type,Id,Label,Weight
G1026,G1066,Undirected,445,,27
G1026,G1061,Undirected,446,,26
G1026,N6001,Undirected,447,,28
G1026,S5025,Undirected,448,,25
G1026,S5018,Undirected,449,,24
G1026,G1050,Undirected,450,,26
G1026,S5032,Undirected,451,,25
G1026,N6009,Undirected,452,,32
G1026,S5014,Undirected,453,,27
G1026,G1027,Undirected,454,,24
G1026,B1740,Undirected,455,,24
G1026,B1732,Undirected,456,,21
G1026,S5047,Undirected,457,,24
G1026,S5040,Undirected,458,,19
G1026,B1739,Undirected,459,,25
G1026,B1778,Undirected,460,,27
G1026,G1064,Undirected,461,,27
G1026,V9022,Undirected,462,,30
G1026,B1795,Undirected,463,,24
G1026,G1030,Undirected,464,,24
G1026,V9012,Undirected,465,,28
G1026,G1017,Undirected,466,,30
G1026,S5026,Undirected,467,,21
G1026,S5011,Undirected,468,,21
G1026,B1742,Undirected,469,,28
G1026,B1734,Undirected,470,,20
G1026,V9002,Undirected,471,,13
G1026,V9019,Undirected,472,,27
G1026,B1737,Undirected,473,,20
G1026,V9014,Undirected,474,,26
G1026,S5004,Undirected,475,,24
G1026,S5049,Undirected,476,,11
G1026,V9026,Undirected,477,,27
G1026,S5042,Undirected,478,,24
G1026,S5029,Undirected,479,,30
G1026,B1790,Undirected,480,,24
G1026,S5008,Undirected,481,,18
G1026,N6003,Undirected,482,,34
G1026,G1065,Undirected,483,,25
G1026,S5022,Undirected,484,,20
G1026,S5012,Undirected,485,,11
G1026,S5038,Undirected,486,,29
G1026,S5039,Undirected,487,,27
G1026,B1787,Undirected,488,,28
G1026,V9016,Undirected,489,,25
G1026,G1063,Undirected,490,,24
G1026,S5020,Undirected,491,,17
G1026,G1021,Undirected,492,,21
G1026,G1051,Undirected,493,,24
G1026,S5048,Undirected,494,,16
G1026,G1039,Undirected,495,,23
G1026,B1738,Undirected,496,,27
G1026,V9015,Undirected,497,,20
G1026,B1788,Undirected,498,,20
G1026,S5023,Undirected,499,,8
G1026,S5031,Undirected,500,,6
G1024,G1055,Undirected,501,,19
G1024,S5030,Undirected,502,,17
G1024,N6007,Undirected,503,,40
G1024,S5028,Undirected,504,,26
G1024,M1203,Undirected,505,,32
G1024,G1067,Undirected,506,,23
G1024,V9021,Undirected,507,,28
G1024,B1741,Undirected,508,,26
G1024,N6008,Undirected,509,,37
G1024,B1794,Undirected,510,,26
G1024,M1201,Undirected,511,,33
G1024,V9023,Undirected,512,,24
G1024,S5013,Undirected,513,,21
G1024,S5021,Undirected,514,,21
G1024,S5001,Undirected,515,,23
G1024,G1028,Undirected,516,,25
G1024,B1730,Undirected,517,,29
G1024,S5035,Undirected,518,,34
G1024,V9020,Undirected,519,,28
G1024,M1208,Undirected,520,,39
G1024,B1785,Undirected,521,,26
G1024,S5033,Undirected,522,,27
G1024,B1733,Undirected,523,,29
G1024,G1023,Undirected,524,,25
G1024,B1781,Undirected,525,,25
G1024,V9024,Undirected,526,,33
G1024,G1031,Undirected,527,,29
G1024,V9003,Undirected,528,,28
G1024,S5037,Undirected,529,,33
G1024,B1791,Undirected,530,,21
G1024,S5010,Undirected,531,,19
G1024,G1025,Undirected,532,,14
G1024,S5044,Undirected,533,,31
G1024,S5003,Undirected,534,,21
G1024,B1784,Undirected,535,,33
G1024,S5045,Undirected,536,,35
G1024,S5043,Undirected,537,,34
G1024,B1777,Undirected,538,,26
G1024,S5024,Undirected,539,,29
G1024,G1032,Undirected,540,,28
G1024,N6004,Undirected,541,,28
G1024,B1780,Undirected,542,,20
G1024,B1782,Undirected,543,,30
G1024,S5041,Undirected,544,,23
G1024,G1019,Undirected,545,,27
G1024,S5016,Undirected,546,,23
G1024,V9013,Undirected,547,,24
G1024,B1786,Undirected,548,,21
G1024,B1792,Undirected,549,,27
G1024,S5009,Undirected,550,,22
G1024,B1776,Undirected,551,,26
G1024,G1033,Undirected,552,,31
G1024,B1727,Undirected,553,,34
G1024,V9008,Undirected,554,,24
G1024,M1207,Undirected,555,,35
G1024,G1068,Undirected,556,,31
G1024,V9010,Undirected,557,,22
G1024,S5005,Undirected,558,,14
G1024,S5006,Undirected,559,,21
G1024,S5050,Undirected,560,,20
G1024,B1779,Undirected,561,,29
